#,Listing ID,Listing Class,Street Number,Street Name,Municipality,Community,List Price,Sold Price,Type,Style,Bed Room,Extra Space,Wash Room,Family Room,Kitchen,Garage Type,A/C,Heat Type,Contract Date,Sold Date,List Brokerage
359,W5769178,Sld,54,Prince,Brampton,Northwest,1020000,1035000,Detached,2-Storey,3,0,3,N,1,Double Car,Cen,Gas,2022-09-20,2022-09-30,SLAVENS
360,W5720359,Sld,84,Atkins,Brampton,Northwood,1050000,995000,Detached,2-Storey,3,2,4,Y,1,Double Car,Cen,Gas,2022-08-04,2022-08-29,RE/MAX REAL
361,W5653236,Sld,247,Fernforest,Brampton,Sandringham,1059000,1060000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-06-09,2022-08-11,HOMELIFE MA
362,W5711883,Sld,38,Charleswoo,Brampton,Fletcher's Creek,1088000,975000,Detached,2-Storey,3,0,3,N,1,Double Car,Cen,Gas,2022-07-27,2022-08-09,ROYAL LEPAG
363,W5675816,Sld,127,Elgin,Brampton,Brampton S,1099000,1099000,Detached,Sidesplit,3,1,3,Y,1,Double Car,Cen,Gas,2022-06-27,2022-08-08,RE/MAX REAL
364,W5737427,Sld,65,Hood,Brampton,Fletcher's Creek,1099900,1180008,Detached,Bungalow-Raised,3,1,3,Y,1,Double Car,Cen,Gas,2022-08-19,2022-08-21,ZOLO REALTY
365,W5708393,Sld,8,Drury,Brampton,Southgate,1109900,999999,Detached,2-Storey,3,1,4,Y,1,Double Car,Cen,Gas,2022-07-23,2022-08-16,RE/MAX GOLD
366,W5726442,Sld,74,Sunley,Brampton,Fletcher's Creek,1119000,1105000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-08-09,2022-09-09,HOMELIFE/MI
367,W5682159,Sld,14,Everingham,Brampton,Sandringham,1148800,1250000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2022-07-03,2022-07-04,RE/MAX REAL
368,W5656588,Sld,18,Willowcres,Brampton,Brampton W,1149900,1045000,Detached,2-Storey,3,0,4,Y,1,Double Car,Cen,Gas,2022-06-12,2022-09-28,RIGHT AT HO
369,W5699731,Sld,9,Daisy,Brampton,Snelgrove,1149900,1200000,Detached,2-Storey,3,1,4,N,1,Double Car,Cen,Gas,2022-07-16,2022-07-23,IPRO REALTY
370,W5714015,Sld,28,Begonia,Brampton,Northwest,1165000,1115000,Detached,2-Storey,3,1,3,Y,1,Double Car,Cen,Gas,2022-07-29,2022-08-17,"EXP REALTY,"
371,W5663091,Sld,2,Moore,Brampton,Downtown Brampton,1175000,1110000,Detached,Backsplit,4,0,3,Y,2,Double Car,Cen,Gas,2022-06-16,2022-09-13,IPRO REALTY
372,W5725992,Sld,91,Sundridge,Brampton,Snelgrove,1179900,1135000,Detached,Bungalow-Raised,4,0,3,Y,1,Double Car,Cen,Gas,2022-08-09,2022-09-07,RE/MAX GOLD
373,W5719970,Sld,24,Poplar Pla,Brampton,Fletcher's Creek,1198000,1125000,Detached,2-Storey,4,1,4,N,1,Double Car,Cen,Gas,2022-08-03,2022-08-11,RE/MAX REAL
374,W5735110,Sld,115,Tysonville,Brampton,Northwest,1199000,1135000,Detached,2-Storey,4,1,4,N,1,Double Car,Cen,Gas,2022-08-17,2022-08-19,ROYAL LEPAG
375,W5736793,Sld,4,Redfern,Brampton,Northwest,1199000,1180000,Detached,2-Storey,4,0,4,Y,1,Double Car,Cen,Gas,2022-08-18,2022-08-19,HOMELIFE/MI
376,W5755080,Sld,5,Larkberry,Brampton,Credit Valley,1199000,1332000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-09-07,2022-09-11,ROYAL STAR
377,W5755310,Sld,13,Blue Lake,Brampton,Fletcher's Creek,1199000,1155500,Detached,2-Storey,4,0,3,Y,1,Double Car,Cen,Gas,2022-09-07,2022-09-16,SUTTON GROU
378,W5756218,Sld,6,Georgian,Brampton,Credit Valley,1199000,1160000,Detached,2-Storey,4,0,3,Y,1,Double Car,Cen,Gas,2022-09-08,2022-09-14,HOMELIFE SU
